,labels,text,prediction
375,2,"Determination of the $\boldsymbol{\eta ^3{\rm He}}$ threshold structure from the low energy $\boldsymbol{pd \to \eta ^3{\rm He}}$ reaction We analyze the data on cross sections and asymmetries for the pd→ηHe3 reaction close to threshold and look for bound states of the ηHe3 system. Rather than parameterizing the scattering matrix, as is usually done, we develop a framework in which the η3He optical potential is the key ingredient, and its strength, together with some production parameters, are fitted to the available experimental data. The relationship of the scattering matrix to the optical potential is established using the Bethe-Salpeter equation and the ηHe3 loop function incorporates the range of the interaction given by the empirical He3 density. We find a local Breit-Wigner form of the ηHe3 amplitude T below threshold with a clear peak in |T|2, which corresponds to an ηHe3 binding of about 0.3 MeV and a width of about 3 MeV. By fitting the potential we can also evaluate the ηHe3 scattering length, including its sign, thus resolving the ambiguity in the former analyses.",1
380,2,"Stellar structure and compact objects before 1940: Towards relativistic astrophysics Since the mid-1920s, different strands of research used stars as “physics laboratories” for investigating the nature of matter under extreme densities and pressures, impossible to realize on Earth. To trace this process this paper is following the evolution of the concept of a dense core in stars, which was important both for an understanding of stellar evolution and as a testing ground for the fast-evolving field of nuclear physics. In spite of the divide between physicists and astrophysicists, some key actors working in the cross-fertilized soil of overlapping but different scientific cultures formulated models and tentative theories that gradually evolved into more realistic and structured astrophysical objects. These investigations culminated in the first contact with general relativity in 1939, when J. Robert Oppenheimer and his students George Volkoff and Hartland Snyder systematically applied the theory to the dense core of a collapsing neutron star. This pioneering application of Einstein’s theory to an astrophysical compact object can be regarded as a milestone in the path eventually leading to the emergence of relativistic astrophysics in the early 1960s.",1
387,2,"Anisotropic cosmological solutions in $R + R^2$ gravity In this paper we investigate the past evolution of an anisotropic Bianchi I universe in $R+R^2$ gravity. Using the dynamical system approach we show that there exists a new two-parameter set of solutions that includes both an isotropic “false radiation” solution and an anisotropic generalized Kasner solution, which is stable. We derive the analytic behavior of the shear from a specific property of f(R) gravity and the analytic asymptotic form of the Ricci scalar when approaching the initial singularity. Finally, we numerically check our results.",1
475,2,"New relativistic effective interaction for finite nuclei, infinite nuclear matter and neutron stars We carry out the study of finite nuclei, infinite nuclear matter, and neutron star properties with the newly developed relativistic force, the Institute of Physics Bhubaneswar-I (IOPB-I). Using this force, we calculate the binding energies, charge radii, and neutron-skin thickness for some selected nuclei. From the ground-state properties of superheavy nuclei (Z=120), it is noticed that considerable shell gaps appear at neutron numbers N=172, 184, and 198, manifesting the magicity at these numbers. The low-density behavior of the equation of state for pure neutron matter is compatible with other microscopic models. Along with the nuclear symmetry energy, its slope and curvature parameters at the saturation density are consistent with those extracted from various experimental data. We calculate the neutron star properties with the equation of state composed of nucleons and leptons in β-equilibrium, which are in good agreement with the x-ray observations by Steiner [Astrophys. J. 722, 33 (2010)10.1088/0004-637X/722/1/33] and Nättilä [Astron. Astrophys. 591, A25 (2016)10.1051/0004-6361/201527416]. Based on the recent observation of GW170817 with a quasi-universal relation, Rezzolla et al. [Astrophys. J. Lett. 852, L25 (2018)10.3847/2041-8213/aaa401] have set a limit for the maximum mass that can be supported against gravity by a nonrotating neutron star in the range 2.01±0.04≲M(M⊙)≲2.16±0.03. We find that the maximum mass of the neutron star for the IOPB-I parametrization is 2.15M⊙. The radius and tidal deformability of a canonical neutron star of mass 1.4M⊙ are 13.2 km and 3.9×1036gcm2s2, respectively.",1
667,2,"Study for a Design of Magnet System for the SPD Detector NICA LHEP JINR The choice of magnet system for the Spin Physics Detector of the NICA Collider of LHEP JINR is given. The inverse problem of magnetostatics is solved for a magnetic field of 0.5 tesla in the aperture a) ɸ 3 m x 5 m and b) ɸ 3 m x 6 m. We also discuss the design of the magnet with a field of 0.3 T.The paper presents the results obtained for the 'warm' and SC versions of the magnetic system: currents (ampere-turns), the geometry (size) of the coil and the iron yoke, weight (on the whole and the individual elements), the magnet transportation and assembly.",1
683,2,"The decay of the $SU(2)$ Yang-Mills fields on the Schwarzschild black hole for spherically symmetric small energy initial data We prove uniform decay estimates in the entire exterior of the Schwarzschild black hole for gauge invariant norms on the Yang–Mills fields valued in the Lie algebra associated to the Lie group SU(2) . We assume that the initial data are spherically symmetric satisfying a certain Ansatz, and have small energy, which eliminates the stationary solutions which do not decay. In particular, there do not exist any Coulomb type solutions satisfying this Ansatz. We first prove a Morawetz type estimate for the Yang–Mills fields within this setting, using the Yang–Mills equations directly. We then adapt the proof constructed in previous work by the first author to show local energy decay and uniform decay of the L∞ norm of the middle components in the entire exterior of the Schwarzschild black hole, including the event horizon.",1
723,2,"A beyond-mean-field model for Λ hypernuclei with Skyrme-type NΛ interaction A beyond-mean-field approach based on the Skyrme–Hartree–Fock model is derived and implemented for $^{13}_{\ \,\Lambda}C$ and $^{21}_{\ \Lambda}Ne$. The Skyrme force with the SLy4 parameter set is used for NN interaction, and a recently updated Skyrme-type parameter set, SLL4, is employed for $N\Lambda$ interaction. The hyperonic spin–orbit force is also included to reproduce the spin–orbit splitting of single-particle energy levels and the no-crossing rule. Properties of different configurations, such as $^{12}C\otimes\Lambda[000]1/2^+$, $^{12}C\otimes\Lambda[110]1/2^-$, $^{12}C\otimes\Lambda[101]3/2^-$, and $^{12}C\otimes\Lambda[101]1/2^-$ are discussed. Low-lying energy spectra of $^{13}_{\ \,\Lambda}C$, including both positive- and negative-parity levels, are presented and compared to the observed data. It is shown that this current model precisely reproduces the observed positive-parity energy level with the configuration [$^{12}C_{\textrm{g.s.}}(2^+)\otimes s_\Lambda$]. The two observed negative-parity levels, [$^{12}C_{\textrm{g.s.}}(0^+)\otimes(p_{1/2})_\Lambda$] and [$^{12}C_{\textrm{g.s.}}(0^+)\otimes(p_{3/2})_\Lambda$], are also successfully reproduced but with reversed order. Energy spectra of $^{21}_{\ \Lambda}Ne$ are also presented and compared to the results of a beyond relativistic mean-field model; except for some details, the two models give similar results.",1
741,2,"Varying fundamental constants: a full covariant approach and cosmological applications We build a minimal extension of General Relativity in which Newton's gravitational coupling, $G$, the speed of light, $c$, and the cosmological constant, $\Lambda$, are spacetime variables. This is done while satisfying the contracted Bianchi identity as well as the local conservation of energy momentum tensor. A dynamical constraint is derived, which shows that variations of $G$ and $c$ are coupled to the local matter-energy physical content, while variation of $\Lambda$ is coupled to the local geometry. This constraint presents a natural cosmological screening mechanism that brings new perspective concerning the current observations of a cosmological constant, $\Lambda_0$ in cosmological observations. We also explore early universe background cosmology and show that the proposal provides alternatives to obtain an accelerated expansion, similar to those coming from Varying Speed of Light theories.",1
778,2,"Beyond ideal magnetohydrodynamics: from fibration to 3  +  1 foliation We consider a resistive multi-fluid framework from the 3  +  1 space-time foliation point-of-view, paying particular attention to issues relating to the use of multi-parameter equations of state and the associated inversion from evolved to primitive variables. We highlight relevant numerical issues that arise for general systems with relative flows. As an application of the new formulation, we consider a three-component system relevant for hot neutron stars. In this case we let the baryons (neutrons and protons) move together, but allow heat and electrons to exhibit relative flow. This reduces the problem to three momentum equations, overall energy-momentum conservation, a generalised Ohm’s law and a heat equation. Our results provide a hierarchy of increasingly complex models and prepare the ground for new state-of-the-art simulations of relevant scenarios in relativistic astrophysics.",1
781,2,"Cosmological Tests of Everpresent $\Lambda$ Everpresent $\Lambda$ is a cosmological scenario in which the observed cosmological ""constant"" $\Lambda$ fluctuates between positive and negative values with a vanishing mean, and with a magnitude comparable to the critical density at any epoch. In accord with a longstanding heuristic prediction of causal set theory, it postulates that $\Lambda$ is a stochastic function of cosmic time that will vary from one realization of the scenario to another. Herein, we consider two models of ""dark energy"" that exhibit these features. Via Monte Carlo Markov chains, we explore the space of cosmological parameters and the set of stochastic realizations of these models, finding that Everpresent $\Lambda$ can fit the current cosmological observations as well as the $\Lambda$CDM model does. Furthermore, it removes observational tensions with $\Lambda$CDM, for low redshift measurements of Hubble constant, and the Baryonic Acoustic Oscillations (BAO) in Lyman-$\alpha$ forest at $z\sim 2-3$. However, we also find that Everpresent $\Lambda$ does not significantly help with the growth of ultramassive black holes at high redshift, and the Lithium problem in Big Bang Nuclesynthesis. Future measurements of ""dark energy"" at high redshifts will further test the viability of Everpresent $\Lambda$ as an alternative to the $\Lambda$CDM cosmology.",1
830,2,"The energy-momentum tensor of electromagnetic fields in matter We present a complete resolution of the Abraham-Minkowski controversy . This is done by considering several new aspects which invalidate previous discussions. We show that: 1)For polarized matter the center of mass theorem is no longer valid in its usual form. A contribution related to microscopic spin should be considered. 2)The electromagnetic dipolar energy density contributes to the inertia of matter and should be incorporated covariantly to the the energy-momentum tensor of matter. Then there is an electromagnetic component in matter's momentum density whose variation explains the results of the only experiment which supports Abraham's force. 3)Averaging the microscopic Lorentz's force results in the unambiguos expression for the force density exerted by the field. This force density is consistent with all the experimental evidence. 4)Momentum conservation determines the electromagnetic energy-momentum tensor. This tensor is different from Abraham's and Minkowski's tensors, but one recovers Minkowski's expression for the momentum density. The energy density is different from Poynting's expression but Poynting's vector remains the same. Our tensor is non-symmetric which allows the field to exert a distributed torque on matter. We use our results to discuss momentum and angular momentum exchange in various situations of physical interest. We find complete consistency of our equations in the description of the systems considered. We also show that several alternative expressions of the field energy-momentum tensor and force-density cannot be successfully used in all our examples. In particular we verify in two of these examples that the center of mass and spin introduced by us moves with constant velocity, but that the standard center of mass does not.",1
857,2,"Monte Carlo simulation for Ultra-cold neutron experiments searching neutron - mirror neutron oscillation Neutron oscillation into mirror neutron, a sterile state exactly degenerate in mass with the neutron, could be a very rapid process, even faster than the neutron decay itself. It can be observed by comparing the neutron lose rates in Ultra-cold neutron trapping experiment for different experimental magnetic fields. We developed a Monte Carlo code that simulate many of the features of this kind of experiment with non-uniform magnetic field. The aim of the simulation is to provide all necessary tools, needed for analyzing experimental results for neutron traps with different geometry and different configurations of magnetic field.",1
878,2,"Physics with electroweak gauge bosons in the forward direction at LHCb A variety of vector boson measurements have been performed with Run 1 or Run 2
LHCb data, including inclusive Z and W bosons cross-sections, Z and W bosons
production with jets (including heavy flavour), top and Higgs production and the
Z boson forward-backward asymmetry. Several of these results are presented.",1
903,2,"ASICs and Readout System for a multi Mpixel single photon UV imaging detector capable of space applications Large aperture MCP based UV single photon imaging detectors are commonly used in space applications and are under consideration for potential future NASA missions, such as LUVOIR, HABEX, and CETUS. For future space exploration missions, a particular interest resides in state of the art detectors with a large geometrical acceptance, spatial resolution in micro-meters, and able to operate at MHz counting rates. We are developing an imaging UV single photon detector with an aperture of 50x50mm2, and ASIC chips which enabled the construction of it's readout system. The system is composed of fast, low noise and low power 16 channel CSA amplifier ASICs, and 16 channel GSPS waveform sampling and digitizing ASICs. The detector and readout system are currently under evaluation. This paper presents the ASICs, readout system design, and first results from the detector.",1
916,2,"Forward modelling of quasar light curves and the cosmological matter power spectrum on milliparsec scales We devise an optimal method to measure the temporal power spectrum of the lensing and intrinsic fluctuations of multiply-imaged strongly lensed quasar light curves, along with the associated time delays. The method is based on a Monte-Carlo Markov Chain (MCMC) sampling of a putative gaussian likelihood, and accurately recovers the input properties of simulated light curves, as well as the ""Time Delay Challenge"". We apply this method to constrain the dimensionless cosmological (non-linear) matter power spectrum on milliparsec scales (comparable to the size of the solar system), to $\Delta_{\rm NL}^4< 1 \times 10^7$ at $k_{\rm NL} \sim 10^3 {\rm pc}^{-1}$. Using a semi-analytic nonlinear clustering model which is calibrated to simulations, the corresponding constraint on the primordial (linear) scalar power spectrum is ${\cal P}_{\cal R} < 3 \times 10^{-9}$ at $k_{\rm L}\sim$ 3 pc$^{-1}$. This is the strongest constraint on primordial power spectrum at these scales, and is within an order of magnitude from the standard $\Lambda$CDM prediction. We also report measurements of temporal spectra for intrinsic variabilities of quasar light curves, which can be used to constrain the size of the emitting region in accretion disks. Future cadenced optical imaging surveys, such as LSST, should increase the number of observed strongly lensed quasars by 3 orders of magnitude and significantly improve these measurements, even though improvements in modelling quasar accretion and stellar microlensing are necessary.",1
917,2,"In-Orbit Instrument Performance Study and Calibration for POLAR Polarization Measurements POLAR is a compact space-borne detector designed to perform reliable measurements of the polarization for transient sources like Gamma-Ray Bursts in the energy range 50–500 keV. The instrument works based on the Compton Scattering principle with the plastic scintillators as the main detection material along with the multi-anode photomultiplier tube. POLAR has been launched successfully onboard the Chinese space laboratory TG-2 on 15th September, 2016. In order to reliably reconstruct the polarization information a highly detailed understanding of the instrument is required for both data analysis and Monte Carlo studies. For this purpose a full study of the in-orbit performance was performed in order to obtain the instrument calibration parameters such as noise, pedestal, gain nonlinearity of the electronics, threshold, crosstalk and gain, as well as the effect of temperature on the above parameters. Furthermore the relationship between gain and high voltage of the multi-anode photomultiplier tube has been studied and the errors on all measurement values are presented. Finally the typical systematic error on polarization measurements of Gamma-Ray Bursts due to the measurement error of the calibration parameters are estimated using Monte Carlo simulations.",1
955,2,"Covariant electrodynamics in linear media: Optical metric While the postulate of covariance of Maxwell’s equations for all inertial observers led Einstein to special relativity, it was the further demand of general covariance—form invariance under general coordinate transformations, including between accelerating frames—that led to general relativity. Several lines of inquiry over the past two decades, notably the development of metamaterial-based transformation optics, has spurred a greater interest in the role of geometry and space-time covariance for electrodynamics in ponderable media. I develop a generally covariant, coordinate-free framework for electrodynamics in general dielectric media residing in curved background space-times. In particular, I derive a relation for the spatial medium parameters measured by an arbitrary timelike observer. In terms of those medium parameters I derive an explicit expression for the pseudo-Finslerian optical metric of birefringent media and show how it reduces to a pseudo-Riemannian optical metric for nonbirefringent media. This formulation provides a basis for a unified approach to ray and congruence tracing through media in curved space-times that may smoothly vary among positively refracting, negatively refracting, and vacuum.",1
987,2,"On γ-rigid regime of the Bohr–Mottelson Hamiltonian in the presence of a minimal length A prolate γ -rigid regime of the Bohr–Mottelson Hamiltonian within the minimal length formalism, involving an infinite square well like potential in β collective shape variable, is developed and used to describe the spectra of a variety of vibrational-like nuclei. The effect of the minimal length on the energy spectrum and the wave function is duly investigated. Numerical calculations are performed for some nuclei revealing a qualitative agreement with the available experimental data.",1
1200,2,"Accretion on Reissner–Nordström–(anti)-de Sitter black hole with global monopole In this paper, we investigate the accretion on the Reissner–Nordström–anti-de-Sitter black hole with global monopole charge. We discuss the general solutions of accretion using the isothermal and polytropic equations of state for steady state, spherically symmetric, non-rotating accretion on the black hole. In the case of isothermal flow, we consider some specific fluids and derive their solutions at the sonic point as well. However, in the case of polytropic fluid we calculate the general expressions only, as there exists no global (Bondi) solutions for polytropic test fluids. In addition to this, the effect of fluid on the mass accretion rate are also studied. Moreover, the large monopole parameter β greatly suppresses the maximum accretion rate.",1
1217,2,"Non-local meta-conformal invariance, diffusion-limited erosion and the XXZ chain Diffusion-limited erosion is a distinct universality class of fluctuating interfaces. Although its dynamical exponent z = 1 , none of the known variants of conformal invariance can act as its dynamical symmetry. In d = 1 spatial dimensions, its infinite-dimensional dynamic symmetry is constructed and shown to be isomorphic to the direct sum of three loop-Virasoro algebras. The infinitesimal generators are spatially non-local and use the Riesz-Feller fractional derivative. Co-variant two-time response functions are derived and reproduce the exact solution of diffusion-limited erosion. The relationship with the terrace-step-kind model of vicinal surfaces and the integrable XXZ chain are discussed.",1
1229,2,"Development of 6-Gap Bakelite Multi-gap Resistive Plate Chamber (MRPC) Multigap Resistive Plate Chambers (MRPCs) are gaseous detectors that are known to have good time resolution. We have taken an attempt to develop a six gap bakelite MRPC using bakelite plates procured from local market with each gas-gap thickness of 250 $\upmu $ m. The developed MRPC was tested for its different parameters like efficiency, noise rate with cosmic rays. In this document, the method of fabrication and test results of the MRPC will be presented.",1
1274,2,"Separating metric perturbations in near-horizon extremal Kerr Linear perturbation theory is a powerful toolkit for studying black hole spacetimes. However, the perturbation equations are hard to solve unless we can use separation of variables. In the Kerr spacetime, metric perturbations do not separate, but curvature perturbations do. The cost of curvature perturbations is a very complicated metric-reconstruction procedure. This procedure can be avoided using a symmetry-adapted choice of basis functions in highly symmetric spacetimes, such as near-horizon extremal Kerr. In this paper, we focus on this spacetime and (i) construct the symmetry-adapted basis functions; (ii) show their orthogonality; and (iii) show that they lead to separation of variables of the scalar, Maxwell, and metric perturbation equations. This separation turns the system of partial differential equations into one of ordinary differential equations over a compact domain, the polar angle.",1
1282,2,"Testing (modified) gravity with 3D and tomographic cosmic shear Cosmic shear, the weak gravitational lensing caused by the large-scale structure, is one of the primary probes to test gravity with current and future surveys. There are two main techniques to analyse a cosmic shear survey; a tomographic method, where correlations between the lensing signal in different redshift bins are used to recover redshift information, and a 3D approach, where the full redshift information is carried through the entire analysis. Here we compare the two methods, by forecasting cosmological constraints for future surveys like Euclid. We extend the 3D formalism for the first time to theories beyond the standard model, belonging to the Horndeski class. This includes the majority of universally coupled extensions to {\Lambda}CDM with one scalar degree of freedom in addition to the metric, which are still in agreement with current observations. Given a fixed background, the evolution of linear perturbations in Horndeski gravity is described by a set of four functions of time only. We model their time evolution assuming proportionality to the dark energy density fraction and place Fisher matrix constraints on the proportionality coefficients. We find that a 3D analysis can constrain Horndeski theories better than a tomographic one, in particular with a decrease in the errors on the Horndeski parameters of the order of 20 - 30$\%$. This paper shows for the first time a quantitative comparison on an equal footing between Fisher matrix forecasts for both a fully 3D and a tomographic analysis of cosmic shear surveys. The increased sensitivity of the 3D formalism comes from its ability to retain information on the source redshifts along the entire analysis.",1
1342,2,"Usage of Cold Spraying of High-Heat-Capacity Coatings for the Increase of Low-$T_c$ Superconductors Stability The thermal stability of NbTi Rutherford-type cables was improved with cold spray technology, namely, by depositing high-heat-capacity coatings onto the surface of the superconductors. Two short samples of identical NbTi Rutherford-type cables with different metallic/ceramic coatings were prepared and tested. The spray particles were deposited onto the cables made of eight monofilamentary NbTi/Cu wires via supersonic velocity impact. The temperature of the process is much lower than the melting point of the sprayed material. The doped sample contained 1 vol.% of large-heat-capacity substance (LHCS) Gd<sub>2</sub>O<sub>3</sub>, whereas the comparison sample did not contain any LHCS. The average heat capacity of the doped sample at 4.2 K was increased more than two times. During the tests, both samples at LHe temperature were subjected to short (~1 ms) electromagnetic disturbances in the transverse constant magnetic field. It was found that the minimum quench energies for the sample with Gd<sub>2</sub>O<sub>3</sub> were 1.4-1.5 times higher than that for the comparison cable without LHCS. The described method is very promising for the stabilization of dense massive windings where the direct heat transfer to the LHe is hampered and the superconductor operates in almost adiabatic conditions.",1
1439,2,"Frame-dragging effect in the field of non rotating body due to unit gravimagnetic moment Nonminimal spin-gravity interaction through unit gravimagnetic moment leads to modified Mathisson–Papapetrou–Tulczyjew–Dixon equations with improved behavior in the ultrarelativistic limit. We present exact Hamiltonian of the resulting theory and compute an effective 1c2 -Hamiltonian and leading post-Newtonian corrections to the trajectory and spin. Gravimagnetic moment causes the same precession of spin S as a fictitious rotation of the central body with angular momentum J=MmS . So the modified equations imply a number of qualitatively new effects, that could be used to test experimentally, whether a rotating body in general relativity has null or unit gravimagnetic moment.",1
1447,2,"Neutron Disappearance and Regeneration from Mirror State The purpose of this paper is to demonstrate that if the transformation of a neutron to a mirror neutron exists with an oscillation time of the order of 10 seconds, it can be detected in a rather simple disappearance and/or regeneration type experiment with an intense beam of cold neutrons. In the presence of a conjectural mirror magnetic field of unknown magnitude and direction, the resonance transformation conditions can be found by scanning the magnitude of the ordinary magnetic field in the range, e.g., ±100  μT. Magnetic field is assumed to be uniform along the path of the neutron beam. If the transformation effect exists within this range, the direction and possible time variation of the mirror magnetic field can be determined with additional dedicated measurements.",1
